Category,QA Group,Question,Answer
General Queries,How to check service availability on a route,How can I see what buses/bus tickets are available?,"1. Enter the source and destination.<br>2. Choose your preferred date of journey and click search.<br>3. You will see a list of bus services available for the particular route. The list will show the bus start time from your origin city, estimated time of arrival in your destination city, list of amenities available, per seat wise approximate fare, any discounted fare if applicable, the number of seats available in a service etc.<br>4. Bus Service available on a route for a particular date of journey will be shown in the search result page. Services that are already sold out will be greyed out."
General Queries,How to check service availability on a route,How can I see what buses can take me to XYZ?,"1. Enter the source and destination.<br>2. Choose your preferred date of journey and click search.<br>3. You will see a list of bus services available for the particular route. The list will show the bus start time from your origin city, estimated time of arrival in your destination city, list of amenities available, per seat wise approximate fare, any discounted fare if applicable, the number of seats available in a service etc.<br>4. Bus Service available on a route for a particular date of journey will be shown in the search result page. Services that are already sold out will be greyed out."
General Queries,How to check service availability on a route,Which buses can take me xyz,"1. Enter the source and destination.<br>2. Choose your preferred date of journey and click search.<br>3. You will see a list of bus services available for the particular route. The list will show the bus start time from your origin city, estimated time of arrival in your destination city, list of amenities available, per seat wise approximate fare, any discounted fare if applicable, the number of seats available in a service etc.<br>4. Bus Service available on a route for a particular date of journey will be shown in the search result page. Services that are already sold out will be greyed out."
General Queries,Using discount or promotional coupon code,How do I book a ticket using any discount / promotional code?,"Please apply the coupon code before making the payment for the particular transaction. You need to log-in to your Abhibus account to use promotional coupons. Please enter the coupon code in the coupon code section and apply. If the coupon code is valid, you will see a message as ""Coupon code applied successfully"". If the coupon code is invalid, you will see message as ""Invalid Coupon Code"". If the coupon code has expired, you will see a message as ""Coupon Expired""."
General Queries,Using discount or promotional coupon code,How do I get discount / promotional codes?,"Please apply the coupon code before making the payment for the particular transaction. You need to log-in to your Abhibus account to use promotional coupons. Please enter the coupon code in the coupon code section and apply. If the coupon code is valid, you will see a message as ""Coupon code applied successfully"". If the coupon code is invalid, you will see message as ""Invalid Coupon Code"". If the coupon code has expired, you will see a message as ""Coupon Expired""."
General Queries,I am unable to make payment using my debit card/credit card/internet banking/wallet,I could not book my ticket using my debit card/ credit card / net-banking / wallet. Why?,"Common reasons for payment failure are fluctuation in bank payment systems, incorrect card number/card expiry date/CVV or OTP, insufficient funds in debit card/bank account and incorrect username/password/any other authentication details required while making internet banking transaction. In case of bank payment fluctuations , we suggest you select any other payment method to proceed with the booking.<br>We have listed a few other reasons for payment failure for which you might need to contact your card issuing bank/wallet are as follows-<br>1. KYC might not be updated with bank/wallet.<br>2. Credit card usage limit exceeded.<br>3. VBV (Verified by Visa) not enabled on your card.<br>4. OTP feature not enabled for Credit or Debit Card.<br>5. Debit/Credit cards issued in foreign countries are not accepted for making payments.<br>6. Online transaction payment limit or account withdrawal limit exceeded.<br>7. Credit/Debit card has expired.<br>8. Your bank may have rejected the transaction due to fraud logic enabled at your bank end.<br>9. Credit/debit card previously reported as lost or stolen. All transactions being performed using these reported cards will be declined. Please contact your bank customer service and report that card is no longer lost or stolen.<br>Please get in touch with us in case you are facing any other issue.<br>"
General Queries,I am unable to make payment using my debit card/credit card/internet banking/wallet,"I could not pay for my ticket, why?","Common reasons for payment failure are fluctuation in bank payment systems, incorrect card number/card expiry date/CVV or OTP, insufficient funds in debit card/bank account and incorrect username/password/any other authentication details required while making internet banking transaction. In case of bank payment fluctuations , we suggest you select any other payment method to proceed with the booking.<br>We have listed a few other reasons for payment failure for which you might need to contact your card issuing bank/wallet are as follows-<br>1. KYC might not be updated with bank/wallet.<br>2. Credit card usage limit exceeded.<br>3. VBV (Verified by Visa) not enabled on your card.<br>4. OTP feature not enabled for Credit or Debit Card.<br>5. Debit/Credit cards issued in foreign countries are not accepted for making payments.<br>6. Online transaction payment limit or account withdrawal limit exceeded.<br>7. Credit/Debit card has expired.<br>8. Your bank may have rejected the transaction due to fraud logic enabled at your bank end.<br>9. Credit/debit card previously reported as lost or stolen. All transactions being performed using these reported cards will be declined. Please contact your bank customer service and report that card is no longer lost or stolen.<br>Please get in touch with us in case you are facing any other issue.<br>"
General Queries,I am unable to make payment using my debit card/credit card/internet banking/wallet,Why cant I pay for my ticket?,"Common reasons for payment failure are fluctuation in bank payment systems, incorrect card number/card expiry date/CVV or OTP, insufficient funds in debit card/bank account and incorrect username/password/any other authentication details required while making internet banking transaction. In case of bank payment fluctuations , we suggest you select any other payment method to proceed with the booking.<br>We have listed a few other reasons for payment failure for which you might need to contact your card issuing bank/wallet are as follows-<br>1. KYC might not be updated with bank/wallet.<br>2. Credit card usage limit exceeded.<br>3. VBV (Verified by Visa) not enabled on your card.<br>4. OTP feature not enabled for Credit or Debit Card.<br>5. Debit/Credit cards issued in foreign countries are not accepted for making payments.<br>6. Online transaction payment limit or account withdrawal limit exceeded.<br>7. Credit/Debit card has expired.<br>8. Your bank may have rejected the transaction due to fraud logic enabled at your bank end.<br>9. Credit/debit card previously reported as lost or stolen. All transactions being performed using these reported cards will be declined. Please contact your bank customer service and report that card is no longer lost or stolen.<br>Please get in touch with us in case you are facing any other issue.<br>"
General Queries,I am unable to make payment using my debit card/credit card/internet banking/wallet,Why is my payment not working?,"Common reasons for payment failure are fluctuation in bank payment systems, incorrect card number/card expiry date/CVV or OTP, insufficient funds in debit card/bank account and incorrect username/password/any other authentication details required while making internet banking transaction. In case of bank payment fluctuations , we suggest you select any other payment method to proceed with the booking.<br>We have listed a few other reasons for payment failure for which you might need to contact your card issuing bank/wallet are as follows-<br>1. KYC might not be updated with bank/wallet.<br>2. Credit card usage limit exceeded.<br>3. VBV (Verified by Visa) not enabled on your card.<br>4. OTP feature not enabled for Credit or Debit Card.<br>5. Debit/Credit cards issued in foreign countries are not accepted for making payments.<br>6. Online transaction payment limit or account withdrawal limit exceeded.<br>7. Credit/Debit card has expired.<br>8. Your bank may have rejected the transaction due to fraud logic enabled at your bank end.<br>9. Credit/debit card previously reported as lost or stolen. All transactions being performed using these reported cards will be declined. Please contact your bank customer service and report that card is no longer lost or stolen.<br>Please get in touch with us in case you are facing any other issue.<br>"
General Queries,I am unable to make payment using my debit card/credit card/internet banking/wallet,There was a payment failure,"Common reasons for payment failure are fluctuation in bank payment systems, incorrect card number/card expiry date/CVV or OTP, insufficient funds in debit card/bank account and incorrect username/password/any other authentication details required while making internet banking transaction. In case of bank payment fluctuations , we suggest you select any other payment method to proceed with the booking.<br>We have listed a few other reasons for payment failure for which you might need to contact your card issuing bank/wallet are as follows-<br>1. KYC might not be updated with bank/wallet.<br>2. Credit card usage limit exceeded.<br>3. VBV (Verified by Visa) not enabled on your card.<br>4. OTP feature not enabled for Credit or Debit Card.<br>5. Debit/Credit cards issued in foreign countries are not accepted for making payments.<br>6. Online transaction payment limit or account withdrawal limit exceeded.<br>7. Credit/Debit card has expired.<br>8. Your bank may have rejected the transaction due to fraud logic enabled at your bank end.<br>9. Credit/debit card previously reported as lost or stolen. All transactions being performed using these reported cards will be declined. Please contact your bank customer service and report that card is no longer lost or stolen.<br>Please get in touch with us in case you are facing any other issue.<br>"
General Queries,I am unable to make payment using my debit card/credit card/internet banking/wallet,my payment failed ,"Common reasons for payment failure are fluctuation in bank payment systems, incorrect card number/card expiry date/CVV or OTP, insufficient funds in debit card/bank account and incorrect username/password/any other authentication details required while making internet banking transaction. In case of bank payment fluctuations , we suggest you select any other payment method to proceed with the booking.<br>We have listed a few other reasons for payment failure for which you might need to contact your card issuing bank/wallet are as follows-<br>1. KYC might not be updated with bank/wallet.<br>2. Credit card usage limit exceeded.<br>3. VBV (Verified by Visa) not enabled on your card.<br>4. OTP feature not enabled for Credit or Debit Card.<br>5. Debit/Credit cards issued in foreign countries are not accepted for making payments.<br>6. Online transaction payment limit or account withdrawal limit exceeded.<br>7. Credit/Debit card has expired.<br>8. Your bank may have rejected the transaction due to fraud logic enabled at your bank end.<br>9. Credit/debit card previously reported as lost or stolen. All transactions being performed using these reported cards will be declined. Please contact your bank customer service and report that card is no longer lost or stolen.<br>Please get in touch with us in case you are facing any other issue.<br>"
General Queries,How much GST is applicable on ticket booking,"What percent of GST amount is applicable on the bus ticket booking?
","As per government regulations, 5% GST is applicable on the base fare of all AC buses."
General Queries,How much GST is applicable on ticket booking,How much GST tax per ticket?,"As per government regulations, 5% GST is applicable on the base fare of all AC buses."
General Queries,How much GST is applicable on ticket booking,What percent of GST amount is applied on the bus ticket booked?,"As per government regulations, 5% GST is applicable on the base fare of all AC buses."
General Queries,How much GST is applicable on ticket booking,What is GST tax per ticket?,"As per government regulations, 5% GST is applicable on the base fare of all AC buses."
General Queries,How much GST is applicable on ticket booking,How much is GST?,"As per government regulations, 5% GST is applicable on the base fare of all AC buses."
General Queries,How much GST is applicable on ticket booking,Is there GST?,"As per government regulations, 5% GST is applicable on the base fare of all AC buses."
General Queries,How much GST is applicable on ticket booking,Do you charge GST?,"As per government regulations, 5% GST is applicable on the base fare of all AC buses."
General Queries,CAT card discount in RTC buses,I have a CAT card. How can I use that to book my ticket?,CAT card discount can be availed for RTC buses only. To avail the discount select CAT card option and enter the valid CAT card number in the seat layout section before you select a seat. You must carry a corresponding original CAT card while travelling. Your ticket may not be accepted if a valid CAT card is not produced at the time of boarding the bus. CAT card discount is offered by only a few RTCs. CAT card discount cannot be combined with other promotional coupons issued by Abhibus.
General Queries,CAT card discount in RTC buses,Can I use my CAT card?,CAT card discount can be availed for RTC buses only. To avail the discount select CAT card option and enter the valid CAT card number in the seat layout section before you select a seat. You must carry a corresponding original CAT card while travelling. Your ticket may not be accepted if a valid CAT card is not produced at the time of boarding the bus. CAT card discount is offered by only a few RTCs. CAT card discount cannot be combined with other promotional coupons issued by Abhibus.
General Queries,CAT card discount in RTC buses,How do I use my CAT card to book my ticket?,CAT card discount can be availed for RTC buses only. To avail the discount select CAT card option and enter the valid CAT card number in the seat layout section before you select a seat. You must carry a corresponding original CAT card while travelling. Your ticket may not be accepted if a valid CAT card is not produced at the time of boarding the bus. CAT card discount is offered by only a few RTCs. CAT card discount cannot be combined with other promotional coupons issued by Abhibus.
General Queries,CAT card discount in RTC buses,Are CAT cards allowed?,CAT card discount can be availed for RTC buses only. To avail the discount select CAT card option and enter the valid CAT card number in the seat layout section before you select a seat. You must carry a corresponding original CAT card while travelling. Your ticket may not be accepted if a valid CAT card is not produced at the time of boarding the bus. CAT card discount is offered by only a few RTCs. CAT card discount cannot be combined with other promotional coupons issued by Abhibus.
General Queries,Booking a Child Ticket,Does Abhibus provide any discount for 'Senior Citizens'?,"Senior Citizen discount is offered by few RTCs. APSRTC is an operator which provides the senior citizen concession but is subject to change. If senior citizen concession is available for an RTC bus service, it is shown in the seat layout section. To avail senior citizen discount goto the seat layout section and select the senior citizen option before you select your seat. Enter the ID/card number of senior citizen ID proof. Proceed to the payment page to make the booking. Carry the senior citizen ID proof while travelling as the age of the person travelling will be validated. Senior citizen discount cannot be combined with other promotional coupons issued by Abhibus."
General Queries,Booking a Child Ticket,Do senior citizens get a discount?,"Senior Citizen discount is offered by few RTCs. APSRTC is an operator which provides the senior citizen concession but is subject to change. If senior citizen concession is available for an RTC bus service, it is shown in the seat layout section. To avail senior citizen discount goto the seat layout section and select the senior citizen option before you select your seat. Enter the ID/card number of senior citizen ID proof. Proceed to the payment page to make the booking. Carry the senior citizen ID proof while travelling as the age of the person travelling will be validated. Senior citizen discount cannot be combined with other promotional coupons issued by Abhibus."
General Queries,Booking a Child Ticket,Do you have discounts for older people?,"Senior Citizen discount is offered by few RTCs. APSRTC is an operator which provides the senior citizen concession but is subject to change. If senior citizen concession is available for an RTC bus service, it is shown in the seat layout section. To avail senior citizen discount goto the seat layout section and select the senior citizen option before you select your seat. Enter the ID/card number of senior citizen ID proof. Proceed to the payment page to make the booking. Carry the senior citizen ID proof while travelling as the age of the person travelling will be validated. Senior citizen discount cannot be combined with other promotional coupons issued by Abhibus."
General Queries,Booking a Child Ticket,"I'm booking for my grandparent, can I get a discount?","Senior Citizen discount is offered by few RTCs. APSRTC is an operator which provides the senior citizen concession but is subject to change. If senior citizen concession is available for an RTC bus service, it is shown in the seat layout section. To avail senior citizen discount goto the seat layout section and select the senior citizen option before you select your seat. Enter the ID/card number of senior citizen ID proof. Proceed to the payment page to make the booking. Carry the senior citizen ID proof while travelling as the age of the person travelling will be validated. Senior citizen discount cannot be combined with other promotional coupons issued by Abhibus."
General Queries,Booking a Child Ticket,"I am traveling with my kid. Do I need to book a bus ticket for him too? 




","Children below five years of age can travel for free along with an adult co-passenger, where seat will not be allocated for the child traveller. However, if a separate seat is required for the child, the customer must book a seat for the child as well.<br><br>"
General Queries,Booking a Child Ticket,Do children get a discount?,"There are no child fare discounts available with private bus operators. But few of Govt. buses offer child fare discounts up to 50% on the base fare depending on the bus type. Usually, child fare is applicable for children between 5-11 years of age. This discount is applicable once child details along with age are entered in the passenger details field."
General Queries,Booking a Child Ticket,"Are there any discounts on the seats selected for kids?
","There are no child fare discounts available with private bus operators. But few of Govt. buses offer child fare discounts up to 50% on the base fare depending on the bus type. Usually, child fare is applicable for children between 5-11 years of age. This discount is applicable once child details along with age are entered in the passenger details field."
General Queries,Booking a Child Ticket,Are there any discounts on the seats selected for child companion? Do children get a discount? Can children travel for free? Do I need to book a ticket for children?,"There are no child fare discounts available with private bus operators. But few of Govt. buses offer child fare discounts up to 50% on the base fare depending on the bus type. Usually, child fare is applicable for children between 5-11 years of age. This discount is applicable once child details along with age are entered in the passenger details field."
General Queries,Booking a Child Ticket,Are there any discounts on the seats selected for child co-passengers?,"There are no child fare discounts available with private bus operators. But few of Govt. buses offer child fare discounts up to 50% on the base fare depending on the bus type. Usually, child fare is applicable for children between 5-11 years of age. This discount is applicable once child details along with age are entered in the passenger details field."
General Queries,Booking a Child Ticket,Are there any discounts on the seats selected for children?,"There are no child fare discounts available with private bus operators. But few of Govt. buses offer child fare discounts up to 50% on the base fare depending on the bus type. Usually, child fare is applicable for children between 5-11 years of age. This discount is applicable once child details along with age are entered in the passenger details field."
General Queries,Booking a Female Seat Ticket,"What provision does Abhibus provide for a lady traveling alone?


","Seats reserved for women travellers can be identified and booked in the following ways-<br><br>Seats reserved and available for booking by women travellers have a pink border around the seat. If there are female seats already booked in the bus, the adjacent seat is marked as a female seat. Select this adjacent female seat to make the booking, as most bus operators do not allow a new female seat booking when a female seat is already available in the bus.<br><br>In case there are no female seats amongst the seats available, then select a seat you prefer and enter gender as female in the passenger details page. This will ensure your adjacent seat, is reserved for another female traveller.<br><br>Few bus operators have enabled ""Single Lady"" option in the seat layout. Select this option to view seats allocated for women travellers."
General Queries,Booking a Female Seat Ticket,Are there any bus seats reserved to women travellers?,"Seats reserved for women travellers can be identified and booked in the following ways-<br><br>Seats reserved and available for booking by women travellers have a pink border around the seat. If there are female seats already booked in the bus, the adjacent seat is marked as a female seat. Select this adjacent female seat to make the booking, as most bus operators do not allow a new female seat booking when a female seat is already available in the bus.<br><br>In case there are no female seats amongst the seats available, then select a seat you prefer and enter gender as female in the passenger details page. This will ensure your adjacent seat, is reserved for another female traveller.<br><br>Few bus operators have enabled ""Single Lady"" option in the seat layout. Select this option to view seats allocated for women travellers."
General Queries,Booking a Female Seat Ticket,How to identify/see if there are any female seats available in the bus?,"Seats reserved for women travellers can be identified and booked in the following ways-<br><br>Seats reserved and available for booking by women travellers have a pink border around the seat. If there are female seats already booked in the bus, the adjacent seat is marked as a female seat. Select this adjacent female seat to make the booking, as most bus operators do not allow a new female seat booking when a female seat is already available in the bus.<br><br>In case there are no female seats amongst the seats available, then select a seat you prefer and enter gender as female in the passenger details page. This will ensure your adjacent seat, is reserved for another female traveller.<br><br>Few bus operators have enabled ""Single Lady"" option in the seat layout. Select this option to view seats allocated for women travellers."
General Queries,Booking a Female Seat Ticket,What security for women?,"Seats reserved for women travellers can be identified and booked in the following ways-<br><br>Seats reserved and available for booking by women travellers have a pink border around the seat. If there are female seats already booked in the bus, the adjacent seat is marked as a female seat. Select this adjacent female seat to make the booking, as most bus operators do not allow a new female seat booking when a female seat is already available in the bus.<br><br>In case there are no female seats amongst the seats available, then select a seat you prefer and enter gender as female in the passenger details page. This will ensure your adjacent seat, is reserved for another female traveller.<br><br>Few bus operators have enabled ""Single Lady"" option in the seat layout. Select this option to view seats allocated for women travellers."
General Queries,Booking a Female Seat Ticket,What special service is there for women?,"Seats reserved for women travellers can be identified and booked in the following ways-<br><br>Seats reserved and available for booking by women travellers have a pink border around the seat. If there are female seats already booked in the bus, the adjacent seat is marked as a female seat. Select this adjacent female seat to make the booking, as most bus operators do not allow a new female seat booking when a female seat is already available in the bus.<br><br>In case there are no female seats amongst the seats available, then select a seat you prefer and enter gender as female in the passenger details page. This will ensure your adjacent seat, is reserved for another female traveller.<br><br>Few bus operators have enabled ""Single Lady"" option in the seat layout. Select this option to view seats allocated for women travellers."
General Queries,Booking a Female Seat Ticket,What utilities are there for women?,"Seats reserved for women travellers can be identified and booked in the following ways-<br><br>Seats reserved and available for booking by women travellers have a pink border around the seat. If there are female seats already booked in the bus, the adjacent seat is marked as a female seat. Select this adjacent female seat to make the booking, as most bus operators do not allow a new female seat booking when a female seat is already available in the bus.<br><br>In case there are no female seats amongst the seats available, then select a seat you prefer and enter gender as female in the passenger details page. This will ensure your adjacent seat, is reserved for another female traveller.<br><br>Few bus operators have enabled ""Single Lady"" option in the seat layout. Select this option to view seats allocated for women travellers."
General Queries,Booking a Female Seat Ticket,What arrangements are there for women?,"Seats reserved for women travellers can be identified and booked in the following ways-<br><br>Seats reserved and available for booking by women travellers have a pink border around the seat. If there are female seats already booked in the bus, the adjacent seat is marked as a female seat. Select this adjacent female seat to make the booking, as most bus operators do not allow a new female seat booking when a female seat is already available in the bus.<br><br>In case there are no female seats amongst the seats available, then select a seat you prefer and enter gender as female in the passenger details page. This will ensure your adjacent seat, is reserved for another female traveller.<br><br>Few bus operators have enabled ""Single Lady"" option in the seat layout. Select this option to view seats allocated for women travellers."
